,Dataset Name,Similarity,"ROC (5,1)","ROC (5, 4)","ROC (10,1)","ROC (10, 4)"
0,BeetleFly,CID,0.8,0.8,0.7749999999999999,0.78
1,BeetleFly,COR,0.6500000000000001,0.6500000000000001,0.55,0.575
2,BeetleFly,EUC,0.625,0.625,0.575,0.575
3,BirdChicken,CID,0.6750000000000002,0.6950000000000002,0.6750000000000002,0.7000000000000002
4,BirdChicken,COR,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.5750000000000001
5,BirdChicken,EUC,0.5750000000000001,0.5750000000000001,0.5750000000000001,0.5750000000000001
6,Computers,EUC,0.522,0.506,0.5180000000000001,0.5284000000000001
7,Earthquakes,CID,0.5210729312762974,0.5429990649836373,0.5204564048620851,0.5442028985507246
8,Earthquakes,COR,0.5398550724637681,0.5398112435717625,0.567622136512389,0.58664095371669
9,Earthquakes,EUC,0.509393992519869,0.5013586956521738,0.5053763440860215,0.509393992519869
10,MoteStrain,CID,0.8015648043372835,0.7513097651052612,0.705253733570425,0.6347773536104653
11,MoteStrain,COR,0.6060147477586143,0.7122717268307242,0.6995324487994131,0.5147910319700568
12,MoteStrain,EUC,0.7171551499023863,0.8227956080030839,0.7776545343762046,0.8435257837078304
13,PhalangesOutlinesCorrect,CID,0.531248527679623,0.5204976442873969,0.5536020318021201,0.5317421230859835
14,PhalangesOutlinesCorrect,COR,0.5032744405182568,0.5135497644287397,0.5007291666666667,0.5064763692579506
15,PhalangesOutlinesCorrect,EUC,0.508543875147232,0.547200382803298,0.5628570376914016,0.5275092020023557
16,ProximalPhalanxOutlineCorrect,CID,0.7070438652256834,0.6599109980928164,0.584411951684679,0.6727399872854418
17,ProximalPhalanxOutlineCorrect,COR,0.538111888111888,0.5731277813095995,0.5780673871582962,0.6446853146853146
18,ProximalPhalanxOutlineCorrect,EUC,0.6453591862682772,0.6553719008264463,0.5573935155753338,0.5972600127145582
19,ShapeletSim,CID,0.603,0.545,0.5730000000000001,0.6620000000000001
20,ShapeletSim,COR,0.54,0.555,0.53,0.52
21,ShapeletSim,EUC,0.58,0.595,0.525,0.6000000000000001
