,Dataset Name,Pool,Similarity,ROC
0,BeetleFly,8,CID,0.6699999999999999
1,BeetleFly,8,COR,0.665
2,BeetleFly,8,EUC,0.5900000000000001
3,BirdChicken,8,CID,0.6599999999999999
4,BirdChicken,8,COR,0.635
5,BirdChicken,8,EUC,0.62
6,Computers,10,CID,0.5424
7,Computers,10,COR,0.5384
8,Computers,10,EUC,0.5892000000000001
9,Earthquakes,8,CID,0.5713329827021972
10,Earthquakes,8,COR,0.585244273024778
11,Earthquakes,8,EUC,0.6178734221598878
12,ItalyPowerDemand,4,CID,0.6895095953087381
13,ItalyPowerDemand,4,COR,0.6805046902628346
14,ItalyPowerDemand,4,EUC,0.6534903081221299
15,MoteStrain,4,CID,0.7192218256879593
16,MoteStrain,4,COR,0.6541466568845671
17,MoteStrain,4,EUC,0.7578709011551996
18,PhalangesOutlinesCorrect,4,CID,0.5275971731448763
19,PhalangesOutlinesCorrect,4,COR,0.5492406507656066
20,PhalangesOutlinesCorrect,4,EUC,0.5410898851590106
21,ProximalPhalanxOutlineCorrect,4,CID,0.604850603941513
22,ProximalPhalanxOutlineCorrect,4,COR,0.6125556261919899
23,ProximalPhalanxOutlineCorrect,4,EUC,0.5992625556261919
24,ShapeletSim,10,CID,0.597
25,ShapeletSim,10,COR,0.5650000000000001
26,ShapeletSim,10,EUC,0.563
27,WormsTwoClass,10,CID,0.5441044270672988
28,WormsTwoClass,10,COR,0.5523797795702234
29,WormsTwoClass,10,EUC,0.5425466412166738
